	SRR059875	SRR059905	SRR060041	SRR060389	SRR061249	SRR061251	SRR061257	SRR062389	SRR1031063	SRR1031677	SRR1564324	SRR1565744	SRR1803853	SRR1803859	SRR1804260	SRR1804274	SRR1804292	SRR1804378	SRR1804718	SRR1804818	SRR1952524	SRR1952532	SRR1952557	SRR1952578	SRR2175813	SRR346700	SRR513376	SRR513802	SRR513813	SRR514204	SRR514244	SRR514849	SRR533811	SRR628262
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella|s__Alloprevotella_unclassified	0	0	0.22781	0	0	0.01054	0.03447	0.49653	0	0	0.04299	0	0	0	0.01059	0	0.37942	0	0.00241	0	0	0	0.08724	0.13114	0.00841	0	0	0	0	0	0	0.0007	0	0.01353
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella|s__Prevotella_sp_oral_taxon_473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.47781	0	0	0	0	0	0	1.16695	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_unclassified	0	0.06555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Candidatus_Prevotella_conceptionensis	0.09509	0.138	0.13687	0	0.01716	0	0	0	0	0	0	0	0	0	0	0.97789	0.00836	0	0	0	0.02036	0.0366	0	0	0	0	0	0	1.80683	0	0	0	0	0.00034
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_baroniae	0	0	0	0	0.00037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_buccae	0.02035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00202	0	0	0.00614	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_denticola	0.253	0.32002	0.09554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18478	0	0.00149	0.10793	0	0.03688	0.00653	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_histicola	1.69111	0.38206	0	0	0.82616	0	0.02641	3.18321	0	10.03215	0.09121	0	0	0	0.60454	0	0.37931	0.07531	0	0	1.50303	0	0.02476	1.40176	0	2.64511	0	0	0	0	4.48616	5.85402	2.61238	0.20169
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_intermedia	0	0.16945	0	0	0	0.00066	0	0.13754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01707	0.00014	0.8064	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_loescheii	0	0	0	0	0.02672	0.1424	0.60286	0	0	0	0	0	0	0	0	0.72477	0	0	0	0	0	0.06808	0	0	0.63111	0	0.04499	0	0.29549	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_maculosa	0.08963	0.12677	0	0	0.00296	0.06702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07418	0	0.01309	0	0.1214	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_marshii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01473	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_melaninogenica	2.65686	1.90503	0.26971	0.36107	5.64578	0.01913	0.01847	3.41609	0.72119	7.0211	22.22899	0	0	0	1.69553	0	10.87482	0.62526	0.00845	0	4.35467	0.2006	0.03077	0.85993	0.08449	4.80422	4.45886	7.17636	0.76489	0.39477	3.43129	5.0782	6.68302	3.97105
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_micans	0.01617	0	0.0124	0	0	0.04328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06718	0	0	0	0.04022	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_nanceiensis	0.94893	0.05338	0.73281	0	3.06181	0.01261	0.00513	3.28254	0.38941	1.14678	0.4104	0	0	0	0.06361	0.18076	1.50273	0.07718	0.03412	0	0.37946	0.00529	0.17619	0	0	0.2288	1.09645	0.70323	0.06467	0.32529	0.23433	0.1723	0.7958	1.25325
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_nigrescens	0.69096	0.70071	0.0923	0	0.00058	0	0.11255	0.28948	0	0	0	0	0	0	0	0.33671	0	0	0	0	0	0	0	0.37922	0	0.05398	0.03874	0	0.52375	0.01294	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_oralis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08868	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_oris	0.4314	1.18999	0.02057	0	0.00143	0	0.24167	0.41911	0	0	0	0.10405	0	0	0	0	0	0	0	0	0.00161	0.03304	0	0.25092	0	0.02896	0.42068	0	1.38726	0.01584	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_oulorum	0.03507	0.12809	0	0	0.47226	0.09769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0583	0	0	0	0.16775	0	0.09948	0	0.09711	0	0	0.00801	0.24132	0.05365
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_pallens	1.13225	0	0.01902	0	2.89626	0	0	0.60712	0	1.48567	0.13384	0	0	0	1.17186	0	2.55884	0	0	0	1.13103	0	0	0	0	0.58528	0.94088	0.15126	0.02974	0	0.00662	0.82972	0.99722	0.94974
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_pleuritidis	0.06631	0.85082	0.02058	0	0	0	0	0.45911	0	0	0	0	0	0	0	0	0	0	0	0	0.00726	0	0	0.00978	0	0.00638	0.08155	0	0.00049	0	0	0	0	0.01827
